member count,person count,title,last name,first name,middle name,nick name,post title,house,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
155,,,Easson,Mary,Louise,,,representatives,Lowe,NSW,13.3.1993,,2.3.1996,defeated,ALP
156,,,Edwards,Graham,John,,,representatives,Cowan,WA,3.10.1998,,17.10.2007,retired,ALP
157,,,Edwards,Harold,Raymond,,,representatives,Berowra,NSW,2.12.1972,,8.2.1993,retired,LIB
158,,,Edwards,Ronald,Frederick,,,representatives,Stirling,WA,5.3.1983,,13.3.1993,defeated,ALP
71,,,Eggleston,Alan,,,,senate,,WA,1.7.1996,,,still_in_office,LIB
159,,,Ellicott,Robert,James,,,representatives,Wentworth,NSW,18.5.1974,,17.2.1981,resigned,LIB
160,,,Elliot,Justine,,,,representatives,Richmond,NSW,9.10.2004,, ,still_in_office,ALP
161,,,Elliott,Robert,Paul,,,representatives,Parramatta,NSW,24.3.1990,,2.3.1996,defeated,ALP
162,,,Ellis,Annette,Louise,,,representatives,Canberra,ACT,3.10.1998,,,still_in_office,ALP
565,,,Ellis,Annette,Louise,,,representatives,Namadgi,ACT,2.3.1996,,3.10.1998,elected_elsewhere,ALP
163,,,Ellis,Katherine,Margaret,Kate,,representatives,Adelaide,SA,9.10.2004,,,still_in_office,ALP
72,,,Ellison,Christopher,Martin,,,senate,,WA,1.7.1993,,,still_in_office,LIB
164,,,Elson,Kay,Selma,,,representatives,Forde,Qld,2.3.1996,,17.10.2007,retired,LIB
73,,,Elstob,Ronald,Charles,,,senate,,SA,1.7.1978 ,,5.6.1987 ,retired,ALP
165,,,Emerson,Craig,Anthony,,,representatives,Rankin,Qld,3.10.1998,,,still_in_office,ALP
166,,,Entsch,Warren,George,,,representatives,Leichhardt,Qld,2.3.1996,,17.10.2007,retired,LIB
74,,,Evans,Christopher,Vaughan,,,senate,,WA,1.7.1993,,,still_in_office,ALP
167,,,Evans,Gareth,John,,,representatives,Holt,Vic.,2.3.1996,,30.9.1999,resigned,ALP
75,,,Evans,Gareth,John,,,senate,,Vic.,1.7.1978 ,,6.2.1996 ,resigned,ALP
76,,,Evans,John,Gordon,,,senate,,WA,5.3.1983 ,,30.6.1985 ,defeated,AD
168,,,Evans,Martyn,John,,,representatives,Bonython,SA,19.3.1994,by_election,9.10.2004,defeated,ALP
169,,,Evans,Richard,David Conroy,,,representatives,Capricornia,Qld,10.12.1977,,26.10.1984,retired,ALP
170,,,Evans,Richard,David Conroy,,,representatives,Cowan,WA,13.3.1993,,3.10.1998,defeated,LIB
171,,,Everingham,Paul,Anthony Edward,,,representatives,Northern Territory,NT,1.12.1984,,5.6.1987,retired,LIB
172,,,Fahey,John,Joseph,,,representatives,Macarthur,NSW,2.3.1996,,8.10.2001,retired,LIB
173,,,Falconer,Peter,David,,,representatives,Casey,Vic.,13.12.1975,,5.3.1983,defeated,LIB
174,,,Farmer,Patrick,Francis,,,representatives,Macarthur,NSW,10.11.2001,,,still_in_office,LIB
